ds,yhat,yhat_lower,yhat_upper
2022-04-20,45.11156445592672,36.27934475966421,53.56981444918687
2022-04-21,45.10900770634295,36.811767780596526,54.21137659749809
2022-04-22,44.91656135891653,36.726492622281896,53.53146573678217
2022-04-23,44.521325375691085,36.19301181629619,53.24921546308442
2022-04-24,44.314671082909875,36.2914373441088,52.87464640884789
2022-04-25,45.019514127258084,36.21052276824512,53.01936591575124
2022-04-26,45.86405763403354,37.484766341446246,54.47564050313981
2022-04-27,45.18586049079918,36.91848758817492,54.058566379807374
2022-04-28,45.26704189680623,37.09628718097292,53.7947696728629
2022-04-29,45.15113255419392,36.33647011644505,54.294761647173445
2022-04-30,44.82352118593298,35.93275249835398,52.789698900114736
2022-05-01,44.67411815707521,36.54698263737337,53.232698139027434
2022-05-02,45.424657193311056,36.73397547291668,54.12868886641079
2022-05-03,46.302460075592364,37.595277775858655,54.631859537676355
2022-05-04,45.6445189103302,36.809171111440136,54.29712128062001
2022-05-05,45.732706981395346,37.24905220089158,54.163663188889316
2022-05-06,45.610628613085304,36.86335550895077,54.19637462105672
2022-05-07,45.264056962763554,36.388817675852316,53.82467807658267
2022-05-08,45.083581922525376,36.966382922249,53.653290642143276
2022-05-09,45.79188968065805,36.51812087672428,53.953058187449436
2022-05-10,46.61749951397845,39.00279516927467,55.591641045008444
2022-05-11,45.89881321727097,36.914772256717534,54.562583125041776
2022-05-12,45.9192890738331,37.61083704581911,54.781981869478585
2022-05-13,45.724251760535154,37.355770407484336,54.01803127610625
2022-05-14,45.30128811135923,36.762663587246955,53.36593923530053
2022-05-15,45.04285193955408,36.425130466553085,53.320134126661
2022-05-16,45.67350048071663,37.148771989534744,54.29964828756872
2022-05-17,46.423589006385946,37.437059610121835,54.827608665590574
2022-05-18,45.63327993807934,36.74559898337159,53.76133427749676
2022-05-19,45.587679214884155,37.09795673082256,54.51983617023257
2022-05-20,45.333612065670074,36.6382283882149,53.79849426228206
2022-05-21,44.859988761831175,35.642534491300545,53.28208168544051
2022-05-22,44.56038408626097,35.83685058783239,53.365843007146864
2022-05-23,45.16025349231448,36.019027464433115,53.392725618507086
2022-05-24,45.890612785493616,37.785019397445645,55.005435728509184
2022-05-25,45.09203781161694,37.16616026422693,54.18927163509371
2022-05-26,45.04979693376523,36.59899158072029,53.59851505227622
2022-05-27,44.81062834202919,36.38966823637333,53.134968865472615
2022-05-28,44.36311258576694,35.88810595043739,52.88056327632915
2022-05-29,44.10026372678404,35.631694813259045,53.28235481762516
2022-05-30,44.7467616924713,36.22906052603838,53.813037177903304
2022-05-31,45.532652173961836,37.05907799556521,54.09297354712799
2022-06-01,44.79737000306939,37.35773526076057,53.02659959550219
2022-06-02,44.82489818858225,35.94249228289472,53.47075130887119
2022-06-03,44.66057403409164,35.98864958521327,53.620423513287896
2022-06-04,44.29149205125553,35.94757081730272,52.37702653749506
2022-06-05,44.10912643347887,35.256625423687744,52.7191895206465
2022-06-06,44.83659501007403,36.485975403239685,53.391308616957595
2022-06-07,45.70239040311861,35.85934665465722,54.40725737491862
2022-06-08,45.044433729007984,36.91451307290861,53.35648809411078
2022-06-09,45.14526247674147,36.09737852287937,53.74516439995426
2022-06-10,45.048863487973414,36.16749013534599,53.14024697564538
2022-06-11,44.741100313434565,35.80550523512808,53.35097807243938
2022-06-12,44.612357334138004,36.572254681897945,53.21503680706953
2022-06-13,45.38482225669075,36.9069106898668,54.35470598506954
2022-06-14,46.2862324617434,37.78821719827285,54.867573951185456
2022-06-15,45.65394037216859,37.977691995012044,54.57916052424651
2022-06-16,45.77010936426155,36.89086652651882,54.31489900394515
2022-06-17,45.6785511029319,37.88288698411617,54.106894282899106
2022-06-18,45.3651535930062,36.89156757755377,54.2241110390398
2022-06-19,45.22052241039447,36.445553235996876,53.301249471423354
2022-06-20,45.96725685142975,36.9497869126749,54.35615834377215
2022-06-21,46.83368665726969,38.836673185676496,55.617858301129445
2022-06-22,46.15792470196659,37.88665036415717,54.804453604662285
2022-06-23,46.22304742855054,37.57526367930782,54.79520444289888
2022-06-24,46.07391420948321,36.746453799610954,53.82569645505093
2022-06-25,45.69757524822751,37.33830522416664,54.730607604409876
2022-06-26,45.48589083508375,37.222202213255315,54.39380086911667
2022-06-27,46.16278406515281,37.936789538136445,54.95324974693285
2022-06-28,46.95795306048479,38.141868565546886,55.58560250269954
2022-06-29,46.21089848193551,37.73778071821037,55.00264650370414
2022-06-30,46.20607851860313,37.319336731285794,55.14977363134868
2022-07-01,45.989702941228295,37.465933657252755,54.76064099017941
2022-07-02,45.550116237468295,36.97593882062384,54.34966349515809
2022-07-03,45.28039304868031,37.08145362071715,54.121844364987304
2022-07-04,45.9055684050213,37.689083333399,54.812402935686066
2022-07-05,46.656329179001425,37.72954479362093,55.248697543991845
2022-07-06,45.8730229013814,37.27188541742377,54.25873361137226
2022-07-07,45.840796462361446,37.020243163339245,54.004563041898095
2022-07-08,45.606376587111015,37.09744629115852,53.561606928599545
2022-07-09,45.15844237956957,36.652270049685406,53.999073303046
2022-07-10,44.89021337974281,35.85991613464155,53.17496159883758
2022-07-11,45.5266758194864,36.36213492981135,53.80928052509928
2022-07-12,46.29827363148397,37.943992221814575,54.606005271242935
2022-07-13,45.54492043501073,37.34930729190063,53.741387762853144
2022-07-14,45.5511450416209,36.91511900011549,53.9427520623276
2022-07-15,45.362882326464835,37.562972060192465,53.624059010426926
2022-07-16,44.96785964989134,36.50530681453148,53.2378089407764
2022-07-17,44.75820209733533,35.67043448322917,53.09419919538923
2022-07-18,45.45767897705421,37.10272156650111,53.97511098421995
2022-07-19,46.29541781741744,37.54888669696157,54.5207225488627
2022-07-20,45.60994170957753,37.26490947752653,54.27138792449691
2022-07-21,45.68434209974809,37.84849100089371,54.279795762800376
2022-07-22,45.563098382780744,36.98541162684977,53.50017980642466
2022-07-23,45.23249393979073,37.102297335379816,54.00338090130395
2022-07-24,45.083251307033095,37.28133120301622,53.73367252583966
2022-07-25,45.83780830647067,37.17768997979368,53.94892410183033
2022-07-26,46.724060754184244,38.25796481705472,55.05796589283702
2022-07-27,46.07942696338862,37.34785636614509,54.55527494729797
2022-07-28,46.18604552779511,38.224717683428665,54.85411410845462
2022-07-29,46.08761714350888,37.898197471893496,54.57210964252446
2022-07-30,45.76983955839158,36.53646164787399,54.43726205068719
2022-07-31,45.62305783672357,37.01689825344809,53.69193209105448
2022-08-01,46.36955133857572,37.49828917709273,55.04744810938729
2022-08-02,47.237282680517524,38.26949217433194,56.09090267660292
2022-08-03,46.563963638194075,37.556315168415885,55.46572420031944
2022-08-04,46.63224932361818,37.83542576074219,55.568501807945424
2022-08-05,46.48657135251859,37.856843226061414,54.79731557445786
2022-08-06,46.11355916711677,38.05032348794816,54.968472597084684
2022-08-07,45.904671894116,37.69388835238792,54.292757859210376
2022-08-08,46.58346245099598,37.535046303589255,54.67484401160088
2022-08-09,47.37929959565073,38.56701476191018,55.655456946805906
