booking_id,total_price,predicted_price,price_diff,price_recommendation
BK00000,888,886.1365,-1.863525390625,Lower
BK00001,258,259.71173,1.71173095703125,Raise
BK00002,936,939.91986,3.91986083984375,Raise
BK00003,2112,2110.2449,-1.755126953125,Lower
BK00004,425,423.38828,-1.611724853515625,Lower
BK00005,1050,1048.8389,-1.1611328125,Lower
BK00006,339,338.93143,-0.068572998046875,Lower
BK00007,2160,2152.8955,-7.1044921875,Lower
BK00008,1632,1630.5277,-1.4722900390625,Lower
BK00009,819,822.69275,3.6927490234375,Raise
BK00010,465,459.23,-5.769989013671875,Lower
BK00011,597,596.5162,-0.48382568359375,Lower
BK00012,368,368.24298,0.24298095703125,Raise
BK00013,1116,1117.3688,1.3687744140625,Raise
BK00014,1452,1446.8461,-5.1539306640625,Lower
BK00015,334,334.6751,0.67510986328125,Raise
BK00016,1344,1345.8723,1.872314453125,Raise
BK00017,800,796.46564,-3.53436279296875,Lower
BK00018,812,807.7198,-4.28021240234375,Lower
BK00019,679,675.9344,-3.06561279296875,Lower
BK00020,1053,1058.4071,5.4071044921875,Raise
BK00021,1518,1522.7003,4.7003173828125,Raise
BK00022,250,249.60887,-0.3911285400390625,Lower
BK00023,663,663.3186,0.318603515625,Raise
BK00024,274,275.04977,1.049774169921875,Raise
BK00025,1442,1440.7797,-1.2203369140625,Lower
BK00026,282,282.54547,0.54547119140625,Raise
BK00027,483,481.0749,-1.92510986328125,Lower
BK00028,1152,1151.1779,-0.8221435546875,Lower
BK00029,2002,1999.0907,-2.9093017578125,Lower
BK00030,1560,1568.2487,8.2486572265625,Raise
BK00031,2024,2030.2765,6.2764892578125,Raise
BK00032,1068,1065.362,-2.637939453125,Lower
BK00033,242,241.98608,-0.013916015625,Lower
BK00034,950,947.90564,-2.0943603515625,Lower
BK00035,900,903.0766,3.07659912109375,Raise
BK00036,791,794.82544,3.825439453125,Raise
BK00037,1460,1469.0607,9.0606689453125,Raise
BK00038,486,489.31937,3.319366455078125,Raise
BK00039,288,289.80698,1.806976318359375,Raise
BK00040,424,424.66788,0.667877197265625,Raise
BK00041,708,709.1702,1.17022705078125,Raise
BK00042,201,199.88213,-1.1178741455078125,Lower
BK00043,1592,1590.8147,-1.185302734375,Lower
BK00044,1656,1655.9233,-0.07666015625,Lower
BK00045,1060,1056.1986,-3.8013916015625,Lower
BK00046,348,344.9417,-3.05828857421875,Lower
BK00047,2506,2504.9768,-1.023193359375,Lower
BK00048,495,492.07886,-2.921142578125,Lower
BK00049,2340,2339.4265,-0.573486328125,Lower
BK00050,920,916.55817,-3.44183349609375,Lower
BK00051,585,585.9687,0.96868896484375,Raise
BK00052,450,446.12146,-3.8785400390625,Lower
BK00053,338,337.69583,-0.304168701171875,Lower
BK00054,1127,1123.9287,-3.0712890625,Lower
BK00055,1067,1065.7281,-1.2718505859375,Lower
BK00056,1218,1218.3685,0.3685302734375,Raise
BK00057,549,547.7437,-1.25628662109375,Lower
BK00058,1704,1708.4812,4.481201171875,Raise
BK00059,358,359.0505,1.050506591796875,Raise
BK00060,345,342.78928,-2.210723876953125,Lower
BK00061,1120,1123.7299,3.7298583984375,Raise
BK00062,591,590.7607,-0.23931884765625,Lower
BK00063,1070,1068.3708,-1.629150390625,Lower
BK00064,399,398.24573,-0.7542724609375,Lower
BK00065,1573,1572.0463,-0.9537353515625,Lower
BK00066,1911,1911.2949,0.294921875,Raise
BK00067,672,674.97687,2.97686767578125,Raise
BK00068,1008,1006.7854,-1.214599609375,Lower
BK00069,1837,1836.9468,-0.05322265625,Lower
BK00070,1629,1634.506,5.5059814453125,Raise
